,Guest star,Episode title
0,Marcia Wallace,"""Bart the Genius"""
1,Sam McMurray,"""Homer's Odyssey""[35]"
2,Marcia Wallace,"""Homer's Odyssey"""
3,Miriam Flynn,"""Moaning Lisa"""
4,Ron Taylor,"""Moaning Lisa""[36]"
5,Albert Brooks[B],"""The Call of the Simpsons""[37]"
6,Marcia Wallace,"""The Telltale Head"""
7,Albert Brooks,"""Life on the Fast Lane""[38]"
8,Sam McMurray,"""Homer's Night Out""[39]"
9,Christian Coffinet,"""The Crepes of Wrath"""
10,Kelsey Grammer,"""Krusty Gets Busted""[40]"
11,June Foray,"""Some Enchanted Evening""[41]"
12,Penny Marshall,"""Some Enchanted Evening""[42]"
13,Paul Willson,"""Some Enchanted Evening""[41]"
14,Marcia Wallace,"""Bart Gets an ""F"""""
15,Harvey Fierstein,"""Simpson and Delilah""[43]"
16,James Earl Jones,"""Treehouse of Horror""[44]"
17,Tony Bennett,"""Dancin' Homer""[45]"
18,Daryl Coley,"""Dancin' Homer""[46]"
19,Ken Levine,"""Dancin' Homer""[46]"
20,Tom Poston,"""Dancin' Homer""[45]"
21,Greg Berg,"""Bart vs. Thanksgiving""[47]"
22,Carol Kane,"""Bart vs. Thanksgiving""[48]"
23,Alex Rocco,"""Itchy & Scratchy & Marge""[49]"
24,Phil Hartman,"""Bart Gets Hit by a Car""[50]"
25,Larry King,"""One Fish, Two Fish, Blowfish, Blue Fish""[51]"
26,Joey Miyashima,"""One Fish, Two Fish, Blowfish, Blue Fish""[52]"
27,Sab Shimono,"""One Fish, Two Fish, Blowfish, Blue Fish""[51]"
28,George Takei,"""One Fish, Two Fish, Blowfish, Blue Fish""[51]"
29,Diana Tanaka,"""One Fish, Two Fish, Blowfish, Blue Fish""[52]"
30,Jon Lovitz,"""The Way We Was""[53]"
31,Phil Hartman,"""Homer vs. Lisa and the 8th Commandment""[54][55]"
32,Marcia Wallace,"""Principal Charming"""
33,Danny DeVito,"""Oh Brother, Where Art Thou?""[56]"
34,Tracey Ullman,"""Bart's Dog Gets an F""[57]"
35,Frank Welker,"""Bart's Dog Gets an F""[58]"
36,Phil Hartman,"""Old Money""[59]"
37,Audrey Meadows,"""Old Money""[59]"
38,Marcia Wallace,"""Old Money"""
39,Jon Lovitz,"""Brush with Greatness""[60]"
40,Ringo Starr,"""Brush with Greatness""[60]"
41,Dustin Hoffman[C],"""Lisa's Substitute""[61]"
