,Season,Guest star,Episode title
0,1,Marcia Wallace,"""Bart the Genius"""
1,1,Sam McMurray,"""Homer's Odyssey""[35]"
2,1,Marcia Wallace,"""Homer's Odyssey"""
3,1,Miriam Flynn,"""Moaning Lisa"""
4,1,Ron Taylor,"""Moaning Lisa""[36]"
5,1,Albert Brooks[B],"""The Call of the Simpsons""[37]"
6,1,Marcia Wallace,"""The Telltale Head"""
7,1,Albert Brooks,"""Life on the Fast Lane""[38]"
8,1,Sam McMurray,"""Homer's Night Out""[39]"
9,1,Christian Coffinet,"""The Crepes of Wrath"""
10,1,Kelsey Grammer,"""Krusty Gets Busted""[40]"
11,1,June Foray,"""Some Enchanted Evening""[41]"
12,1,Penny Marshall,"""Some Enchanted Evening""[42]"
13,1,Paul Willson,"""Some Enchanted Evening""[41]"
14,2,Marcia Wallace,"""Bart Gets an ""F"""""
15,2,Harvey Fierstein,"""Simpson and Delilah""[43]"
16,2,James Earl Jones,"""Treehouse of Horror""[44]"
17,2,Tony Bennett,"""Dancin' Homer""[45]"
18,2,Daryl Coley,"""Dancin' Homer""[46]"
19,2,Ken Levine,"""Dancin' Homer""[46]"
20,2,Tom Poston,"""Dancin' Homer""[45]"
21,2,Greg Berg,"""Bart vs. Thanksgiving""[47]"
22,2,Carol Kane,"""Bart vs. Thanksgiving""[48]"
23,2,Alex Rocco,"""Itchy & Scratchy & Marge""[49]"
24,2,Phil Hartman,"""Bart Gets Hit by a Car""[50]"
25,2,Larry King,"""One Fish, Two Fish, Blowfish, Blue Fish""[51]"
26,2,Joey Miyashima,"""One Fish, Two Fish, Blowfish, Blue Fish""[52]"
27,2,Sab Shimono,"""One Fish, Two Fish, Blowfish, Blue Fish""[51]"
28,2,George Takei,"""One Fish, Two Fish, Blowfish, Blue Fish""[51]"
29,2,Diana Tanaka,"""One Fish, Two Fish, Blowfish, Blue Fish""[52]"
30,2,Jon Lovitz,"""The Way We Was""[53]"
31,2,Phil Hartman,"""Homer vs. Lisa and the 8th Commandment""[54][55]"
32,2,Marcia Wallace,"""Principal Charming"""
33,2,Danny DeVito,"""Oh Brother, Where Art Thou?""[56]"
34,2,Tracey Ullman,"""Bart's Dog Gets an F""[57]"
35,2,Frank Welker,"""Bart's Dog Gets an F""[58]"
36,2,Phil Hartman,"""Old Money""[59]"
37,2,Audrey Meadows,"""Old Money""[59]"
38,2,Marcia Wallace,"""Old Money"""
39,2,Jon Lovitz,"""Brush with Greatness""[60]"
40,2,Ringo Starr,"""Brush with Greatness""[60]"
41,2,Dustin Hoffman[C],"""Lisa's Substitute""[61]"
42,2,Marcia Wallace,"""Lisa's Substitute"""
43,2,Cloris Leachman,"""Three Men and a Comic Book""[62]"
44,2,Daniel Stern,"""Three Men and a Comic Book""[62]"
45,3,Michael Jackson[D],"""Stark Raving Dad""[63][64]"
46,3,Kipp Lennon,"""Stark Raving Dad""[22]"
47,3,Lona Williams,"""Mr. Lisa Goes to Washington""[65]"
