Season_Number,Guest_Star_Name,Episode_Title
21,Matt Groening,"""Homer the Whopper""[35]"
21,Kevin Michael Richardson,"""Homer the Whopper""[36]"
21,Seth Rogen,"""Homer the Whopper""[35]"
21,Marcia Wallace,"""Bart Gets a ""Z"""""
21,Chuck Liddell,"""The Great Wife Hope""[37]"
21,Marcia Wallace,"""The Great Wife Hope"""
21,Marcia Wallace,"""Treehouse of Horror XX"""
21,Marcia Wallace,"""The Devil Wears Nada"""
21,Jonah Hill,"""Pranks and Greens""[38]"
21,Marcia Wallace,"""Pranks and Greens"""
21,Neve Campbell,"""Rednecks and Broomsticks""[39]"
21,Kim Cattrall,"""O Brother, Where Bart Thou?""[40]"
21,Huell Howser,"""O Brother, Where Bart Thou?""[40]"
21,Cooper Manning,"""O Brother, Where Bart Thou?""[40]"
21,Eli Manning,"""O Brother, Where Bart Thou?""[40]"
21,Peyton Manning,"""O Brother, Where Bart Thou?""[40]"
21,Jordan Nagai,"""O Brother, Where Bart Thou?""[40]"
21,Smothers Brothers[B],"""O Brother, Where Bart Thou?""[40]"
21,Mitch Albom,"""Thursdays with Abie""[41]"
21,Marcia Wallace,"""Thursdays with Abie"""
21,Anne Hathaway,"""Once Upon a Time in Springfield""[42]"
21,Eartha Kitt,"""Once Upon a Time in Springfield""[42]"
21,Maurice LaMarche,"""Once Upon a Time in Springfield""[43]"
21,Gary Larson,"""Once Upon a Time in Springfield""[42]"
21,Jackie Mason,"""Once Upon a Time in Springfield""[42]"
21,Chris Martin[C],"""Million Dollar Maybe""[44]"
21,Marcia Wallace,"""Million Dollar Maybe"""
21,Bob Costas,"""Boy Meets Curl""[45]"
21,Wren T. Brown,"""The Color Yellow""[46]"
21,Marcia Wallace,"""Postcards from the Wedge"""
21,Angela Bassett,"""Stealing First Base""[47]"
21,Sarah Silverman,"""Stealing First Base""[47]"
21,Sacha Baron Cohen,"""The Greatest Story Ever D'ohed""[48]"
21,Yael Naim,"""The Greatest Story Ever D'ohed""[48]"
21,Joe Mantegna,"""American History X-cellent""[49]"
21,Kevin Michael Richardson,"""American History X-cellent""[49]"
21,Jane Kaczmarek,"""Chief of Hearts""[50]"
21,Maurice LaMarche,"""Chief of Hearts""[50]"
21,Joe Mantegna,"""Chief of Hearts""[50]"
21,Eddie Izzard,"""To Surveil with Love""[51]"
21,Marcia Wallace,"""To Surveil with Love"""
21,Don Pardo,"""Moe Letter Blues""[52]"
21,Kelsey Grammer,"""The Bob Next Door""[53]"
21,Simon Cowell,"""Judge Me Tender""[54]"
21,Ellen DeGeneres,"""Judge Me Tender""[54]"
21,Kara DioGuardi,"""Judge Me Tender""[54]"
21,Randy Jackson,"""Judge Me Tender""[54]"
21,Rupert Murdoch,"""Judge Me Tender""[54]"
21,Ryan Seacrest,"""Judge Me Tender""[54]"
22,Jemaine Clement,"""Elementary School Musical""[55]"
22,Ira Glass,"""Elementary School Musical""[56]"
22,Stephen Hawking,"""Elementary School Musical""[56]"
22,Bret McKenzie,"""Elementary School Musical""[55]"
22,Lea Michele,"""Elementary School Musical""[56]"
22,Cory Monteith,"""Elementary School Musical""[56]"
22,Amber Riley,"""Elementary School Musical""[56]"
22,Terry W. Greene,"""Loan-a Lisa"""
22,Chris Hansen,"""Loan-a Lisa""[57]"
22,Muhammad Yunus,"""Loan-a Lisa""[58]"
22,Mark Zuckerberg,"""Loan-a Lisa""[59]"
22,Bill James,"""MoneyBART""[60]"
22,Mike Scioscia,"""MoneyBART""[60]"
22,Hugh Laurie,"""Treehouse of Horror XXI""[61]"
22,Daniel Radcliffe,"""Treehouse of Horror XXI""[62]"
22,Terry W. Greene,"""The Fool Monty"""
22,Gregg Berger,"""How Munched is That Birdie in the Window?"""
22,Danica Patrick,"""How Munched is That Birdie in the Window?""[63]"
22,Marcia Wallace,"""How Munched is That Birdie in the Window?"""
22,Rachel Weisz,"""How Munched is That Birdie in the Window?""[63]"
22,Katy Perry,"""The Fight Before Christmas""[64]"
22,Martha Stewart,"""The Fight Before Christmas""[65]"
22,Jon Hamm,"""Donnie Fatso""[66]"
22,Joe Mantegna,"""Donnie Fatso""[66]"
22,Marcia Wallace,"""Moms I'd Like to Forget"""
22,Alyson Hannigan,"""Flaming Moe""[67]"
22,Scott Thompson,"""Flaming Moe""[67]"
22,Kristen Wiig,"""Flaming Moe""[67]"
22,Michael Paul Chan,"""Homer the Father""[68]"
22,James Lipton,"""Homer the Father""[68]"
22,David Mamet,"""Homer the Father""[68]"
22,Garry Marshall,"""Homer the Father""[68]"
22,Marcia Wallace,"""The Blue and the Gray"""
22,Halle Berry,"""Angry Dad: The Movie""[69]"
22,Russell Brand,"""Angry Dad: The Movie""[70]"
22,Ricky Gervais,"""Angry Dad: The Movie""[71]"
22,Terry W. Greene,"""Angry Dad: The Movie"""
22,Maurice LaMarche,"""Angry Dad: The Movie""[72]"
22,Nick Park,"""Angry Dad: The Movie""[70]"
22,J. B. Smoove,"""Angry Dad: The Movie""[70]"
22,Werner Herzog,"""The Scorpion's Tale""[73]"
22,Kevin Michael Richardson,"""The Scorpion's Tale""[73]"
22,Tommy Chong,"""A Midsummer's Nice Dream""[74]"
22,Cheech Marin,"""A Midsummer's Nice Dream""[74]"
22,Kareem Abdul-Jabbar,"""Love Is a Many Strangled Thing""[75]"
22,Kevin Michael Richardson,"""Love Is a Many Strangled Thing""[76]"
22,Paul Rudd,"""Love Is a Many Strangled Thing""[75]"
22,Marcia Wallace,"""Love Is a Many Strangled Thing"""
22,David Copperfield,"""The Great Simpsina""[77]"
22,Ricky Jay,"""The Great Simpsina""[77]"
22,Penn Jillette,"""The Great Simpsina""[77]"
22,Martin Landau,"""The Great Simpsina""[77]"
22,Jack McBrayer,"""The Great Simpsina""[77]"
22,Teller,"""The Great Simpsina""[77]"
22,Joe Mantegna,"""The Real Housewives of Fat Tony""[78]"
22,Kristen Schaal[D],"""Homer Scissorhands""[79]"
22,Marcia Wallace,"""Homer Scissorhands"""
22,Albert Brooks,"""500 Keys""[80]"
22,Ken Burns,"""The Ned-Liest Catch""[80]"
22,Joey Kramer[E],"""The Ned-Liest Catch""[80]"
22,Marcia Wallace,"""The Ned-Liest Catch"""
23,Tom Colicchio,"""The Falcon and the D'ohman""[81]"
23,Ping Marshall,"""The Falcon and the D'ohman""[81]"
23,Kevin Michael Richardson,"""The Falcon and the D'ohman""[80]"
23,Kiefer Sutherland,"""The Falcon and the D'ohman""[80]"
23,Marcia Wallace,"""The Falcon and the D'ohman"""
23,Theodore Roosevelt (archival),"""Bart Stops to Smell the Roosevelts"""
23,Marcia Wallace,"""Bart Stops to Smell the Roosevelts"""
23,Jackie Mason,"""Treehouse of Horror XXII""[82]"
23,Aron Ralston,"""Treehouse of Horror XXII""[83]"
23,Jane Lynch,"""Replaceable You""[84]"
23,Mario Batali,"""The Food Wife""[85]"
