,Season_Number,Number_of_Episodes,Rank,Rating
0,1,13,30,14.5
1,2,22,38,0
2,3,24,33,0
3,4,22,30,13.0
4,5,22,53,0
5,6,25,67,0
6,7,25,75,0
7,8,25,53,0
8,9,25,30,9.2
9,10,23,46,0
10,11,22,44,0
11,12,21,21,0
12,13,22,30,0
13,14,22,25,0
14,15,22,42,0
15,16,21,52,0
16,17,22,62,3.2
17,18,22,60,4.1
18,Film,Film,0,0
19,19,20,87,0
20,20,21,77,0
21,21,23,61,3.4
22,22,22,65,3.3
23,23,22,69,3.3
24,Short film,Short film,0,0
25,24,22,70,2.9
26,25,22,81,0
27,26,22,10,2.6
28,27,22,10,2.1
29,28,22,92,2.1
30,29,21,12,1.7
31,30,23,12,1.4
32,31,22,10,1.1
33,Short film,Short film,0,0
34,32,22[53],0,0
