Guest star,Episode title
Marcia Wallace,144
Phil Hartman,52
Frank Welker,20
Joe Mantegna,20
Maurice LaMarche,12
Kelsey Grammer,11
Jon Lovitz,9
Jane Kaczmarek,7
Jan Hooks,6
Michael Dees,6
Albert Brooks,5
Kipp Lennon,5
Sally Stevens,5
Charles Napier,4
Michael Carrington,4
Eric Idle,3
Terry W. Greene,3
James Earl Jones,3
Sab Shimono,3
Gary Coleman,3
Gene Merlino,3
George Takei,3
Glenn Close,3
Pamela Reed,3
Stacy Keach,3
Stephen Hawking,3
Dana Gould,3
Julia Louis-Dreyfus,3
Joan Kenley,3
Alex Rocco,3
John Kassir,3
Lona Williams,3
Dave Thomas,2
David Crosby,2
David Hyde Pierce,2
Larry King,2
Sam McMurray,2
Steve Allen,2
Kiefer Sutherland,2
Danny DeVito,2
Denice Kumagai,2
Steve Buscemi,2
Shawn Colvin,2
Dick Tufeld,2
Scott Thompson,2
Neil Armstrong (archival),2
Karen Maruyama,2
Jackie Mason,2
"Ed Begley, Jr.",2
Elizabeth Taylor,2
Ron Taylor,2
Ron Howard,2
Joe Frazier,2
Gedde Watanabe,2
Michael McKean,2
Jim Gilstrap,2
NRBQ,2
"Hank Williams, Jr.",2
Susan Sarandon,2
Paul Winfield,2
J. K. Simmons,2
"""Weird Al"" Yankovic",2
Leonard Nimoy,2
Tito Puente,2
Barry White,2
Brian Grazer,2
William Daniels,2
Adam West,2
Beverly D'Angelo,2
Betty White,2
Alec Baldwin,2
Thomas Pynchon,2
Tony Bennett,2
Michael Moore,1
U2[L],1
Michael Keaton,1
Michael York,1
Michael Jackson[D],1
Venus Williams,1
Troy Aikman,1
Susie Smith,1
Michael Imperioli,1
Michelle Kwan,1
Wade Boggs,1
Warren Sapp,1
Werner Klemperer,1
Michael Chabon,1
Will Shortz,1
Michael Buffer,1
"Michael ""J"" Horn",1
Metallica[T],1
Michele Pillar,1
Mike Judge,1
Michelle Pfeiffer,1
Tony Hawk,1
Parker Posey,1
Tony Blair,1
Ozzie Smith,1
Oscar De La Hoya,1
Oren Waters,1
Olympia Dukakis,1
Nick Bakay,1
Nichelle Nichols,1
Neil Patrick Harris,1
Topher Grace,1
Mick Jagger,1
Tracey Ullman,1
Natalie Portman,1
Nancy O'Dell,1
Trevor Denman,1
Mr. T,1
Miriam Flynn,1
Mike Scioscia,1
Merl Reagle,1
Mickey Rooney,1
Meryl Streep,1
Mel Brooks,1
Willem Dafoe,1
Ludacris,1
Wolfgang Puck,1
Marc Wilmore,1
Marc Terenzi,1
Mandy Patinkin,1
Woody Harrelson,1
Mandy Moore,1
Magic Johnson,1
Luke Perry,1
Yao Ming,1
Lucy Liu,1
Marie Cain,1
Lucy Lawless,1
