Season_Number,Episode_Number,Most_Common_Phrase,Occurrences
1,1,Homer: Doh!,3
1,2,What?,3
1,3,Oh.,3
1,4,Hey!,3
1,5,Aah!,4
1,6,What?,3
1,7,No!,3
1,8,Oh.,3
1,9,Oh!,4
1,10,"Well, okay.",3
1,11,I like to play with you.,3
1,12,Big shoes to fill. Big shoes to fill.,3
1,13,Aaah!,5
2,1,"Yes, ma'am.",5
2,2,Green.,2
2,3,Nevermore,3
2,4,Just resting my eyes!,2
2,5,"Well, okay.",2
2,6,Okay.,3
2,7,Sorry.,3
2,8,What?,3
2,9,When do we want it?,3
2,10,No.,3
2,11,"Please, Dad?",3
2,12,Homer?,3
2,13,Yes.,4
2,14,Must find man.,3
2,15,No.,3
2,16,Assassins!,3
2,17,No.,2
2,18,Will you take us to Mt. Splashmore?,6
2,19,No.,3
2,20,What?,3
2,21,No.,3
2,22,What?,3
3,1,MichaelJackson?!,8
3,2,Thank you.,3
3,3,D'oh!,3
3,4,D'oh!,2
3,5,Huh?,3
3,6,Hello?,5
3,7,Aahh!,4
3,8,No.,5
3,9,Mmm.,4
3,10,"Hey, Homer.",12
3,11,D'oh!,5
3,12,Mmm.,6
3,13,D'oh!,6
3,14,D'oh!,4
3,15,D'oh!,4
3,16,Hmm.,4
3,17,Darryl.,6
3,18,Hmm.,3
3,19,D'oh!,5
3,20,Uh-huh.,4
3,21,MacGyver...,3
3,22,Oy!,3
3,23,Eww!,3
3,24,D'oh!,3
4,1,D'oh!,2
4,2,Next!,3
4,3,Whoo-hoo!,2
4,4,Uh-huh.,2
4,5,D'oh!,2
4,6,Ohh.,3
4,7,Hey!,2
4,8,Hey!,3
4,9,D'oh!,3
4,10,Homer.,4
4,11,Bed goes up. Bed goes down.,3
4,12,Get to the money!,4
4,13,Ahh!,3
4,14,Hit me.,3
4,15,"Yes, Ralph?",2
4,16,D'oh!,3
4,17,Dental plan!,7
4,18,D'oh! D'oh! D'oh! D'oh! D'oh!,5
4,19,Hee-hee-hee.,4
4,20,Yes.,2
4,21,Happy birthday.,2
4,22,Yeah.,3
5,1,Ooh!,3
5,2,"Hello, Mr. Thompson.",3
5,3,D'oh!,3
5,4,Shh!,2
5,5,No.,2
5,6,Homer?,2
5,7,Hmm?,5
5,8,Keep away!,5
5,9,Uh--,2
5,10,Yea!,6
5,11,Sorry.,3
5,12,I didn't do it.,8
5,13,Are we in lndia yet?,3
5,14,Yes.,3
5,15,Check.,3
5,16,Yeah.,3
5,17,Pyle!,3
5,18,Whoo-hoo!,2
5,19,Hmm.,3
5,20,And those.,3
5,21,Ooh.,3
6,1,"Can we have a pool, Dad?",3
6,2,Me too.,4
6,3,No.,3
6,4,No.,2
6,5,Ugh! That Barlow's a right-wing crackpot.,1
6,6,D'oh!,4
6,7,I'm a troll man.,2
6,8,No.,3
6,9,Precious Venus.,2
6,10,No.,4
6,11,Okay.,4
6,12,We do We do.,6
6,13,Okay.,3
6,14,No!,4
6,15,Krusty the Clown.,2
6,16,I'm sorry.,2
6,17,"Hey, Homer.",2
6,18,Excellent.,4
6,19,"Hi, Dad.",2
6,20,See my vest See my vest.,3
6,21,Yeah.,3
6,22,Death!,3
6,23,Marge!,2
6,24,A garbage man.,3
6,25,No.,2
7,1,D'oh!,3
7,2,"Watch out, Radioactive Man!",4
7,3,Mmm.,3
7,4,What?,3
7,5,You don't win friends with salad.,7
7,6,No. - No.,4
7,7,D'oh!,3
7,8,What?,3
7,9,D'oh!,2
7,10,Mmm.,3
7,11,Out!,2
7,12,Mmm.,2
7,13,D'oh!,4
7,14,D'oh!,3
7,15,"Oh, I'm sorry.",2
7,16,Hear ye! Hear ye!,4
7,17,"Yes, sir.",3
7,18,Okay.,3
