,Year,Rank,Name
0,2019,955,Lisa
1,2019,295,Maggie
2,2019,191,Abraham
3,2019,655,Nelson
4,2018,671,Nelson
5,2018,877,Lisa
6,2018,950,Ralph
7,2018,293,Maggie
8,2018,163,Abraham
9,2017,248,Maggie
10,2017,169,Abraham
11,2017,885,Lisa
12,2017,631,Nelson
13,2016,620,Nelson
14,2016,242,Maggie
15,2016,991,Ralph
16,2016,834,Lisa
17,2016,157,Abraham
18,2015,754,Lisa
19,2015,626,Nelson
20,2015,241,Maggie
21,2015,169,Abraham
22,2014,645,Nelson
23,2014,180,Abraham
24,2014,238,Maggie
25,2014,739,Lisa
26,2013,768,Lisa
27,2013,182,Abraham
28,2013,232,Maggie
29,2013,581,Nelson
30,2012,247,Maggie
31,2012,558,Nelson
32,2012,190,Abraham
33,2012,708,Lisa
34,2011,953,Ralph
35,2011,192,Abraham
36,2011,702,Lisa
37,2011,556,Nelson
38,2011,229,Maggie
39,2010,194,Abraham
40,2010,712,Lisa
41,2010,225,Maggie
42,2010,572,Nelson
43,2010,966,Ralph
44,2009,233,Maggie
45,2009,693,Lisa
46,2009,180,Abraham
47,2009,953,Ralph
48,2009,524,Nelson
49,2008,214,Maggie
50,2008,186,Abraham
51,2008,860,Ralph
52,2008,497,Nelson
53,2008,603,Lisa
54,2007,868,Ralph
55,2007,467,Nelson
56,2007,188,Abraham
57,2007,570,Lisa
58,2007,181,Maggie
59,2006,448,Nelson
60,2006,500,Lisa
61,2006,182,Abraham
62,2006,189,Maggie
63,2006,759,Ralph
64,2005,441,Nelson
65,2005,493,Lisa
66,2005,192,Abraham
67,2005,768,Ralph
68,2005,211,Maggie
69,2004,452,Nelson
70,2004,205,Maggie
71,2004,710,Ralph
72,2004,427,Lisa
73,2004,193,Abraham
74,2003,420,Nelson
75,2003,372,Lisa
76,2003,658,Ralph
77,2003,195,Abraham
78,2003,188,Maggie
79,2002,204,Abraham
80,2002,190,Maggie
81,2002,359,Lisa
82,2002,408,Nelson
83,2002,630,Ralph
84,2001,336,Lisa
85,2001,407,Nelson
86,2001,200,Abraham
87,2001,610,Ralph
88,2001,181,Maggie
89,2000,295,Lisa
90,2000,414,Nelson
91,2000,198,Maggie
92,2000,583,Ralph
93,2000,213,Abraham
94,1999,282,Lisa
95,1999,570,Ralph
96,1999,224,Maggie
97,1999,402,Nelson
98,1999,214,Abraham
99,1998,208,Abraham
100,1998,230,Lisa
101,1998,582,Ralph
102,1998,397,Nelson
103,1998,248,Maggie
104,1997,277,Maggie
105,1997,544,Ralph
106,1997,194,Lisa
107,1997,216,Abraham
108,1997,387,Nelson
109,1996,227,Abraham
110,1996,256,Maggie
111,1996,168,Lisa
112,1996,377,Nelson
113,1996,503,Ralph
114,1995,232,Abraham
115,1995,144,Lisa
116,1995,502,Ralph
117,1995,250,Maggie
118,1995,356,Nelson
119,1994,232,Maggie
120,1994,123,Lisa
121,1994,342,Nelson
122,1994,241,Abraham
123,1994,490,Ralph
124,1993,332,Nelson
125,1993,244,Abraham
126,1993,100,Lisa
127,1993,281,Maggie
128,1993,428,Ralph
129,1992,319,Nelson
130,1992,271,Maggie
131,1992,441,Ralph
132,1992,88,Lisa
133,1992,254,Abraham
134,1991,405,Ralph
135,1991,296,Maggie
136,1991,83,Lisa
137,1991,243,Abraham
138,1991,318,Nelson
139,1990,385,Ralph
140,1990,64,Lisa
141,1990,244,Abraham
142,1990,288,Maggie
143,1990,279,Nelson
